productCode;name;barcode;quantity;price;containerNumber;qtyPerBox;totalBox;unitKg;totalKg;widthCm;lengthCm;heightCm;unitM3;totalM3;category
LE01P;Lela Yonetici Koltugu;1;15;0;15 adet Container 1 ve 2 de.;1;15;28;420;0.7;0.6;1.05;0.441;6.62;Genel
LE02P;Lela Toplanti ve Ziyaretci Koltugu;2;12;0;12 adet Container 1 ve 2 de.;1;12;27.5;330;0.7;0.6;0.84;0.3528;4.23;Genel
LE01B;Lela Yonetici Koltugu Siyah;3;3;0;3 adet Container 1 ve 2 de.;1;3;28;84;0.7;0.6;1.05;0.441;1.32;Genel
LE02B;Lela Toplanti ve Ziyaretci Koltugu Siyah;4;6;0;6 adet Container 1 ve 2 de.;1;6;27.5;165;0.7;0.6;0.84;0.3528;2.12;Genel
HN01TDA;Hina Yonetici Koltugu;5;10;0;10 adet Container 1 ve 2 de.;1;10;25;250;0.82;0.365;0.65;0.194545;1.95;Genel
HM02P;Hime Toplanti Koltugu;6;18;0;9 adet Container 1 ve 2 de ve 9 adet 3. containerda.;1;18;17;306;0.68;0.57;0.73;0.282949;5.09;Genel
VX02TDAL;VX Operasyonel Koltuk Beyaz Govde;7;10;0;10 adet Container 1 ve 2 de.;1;10;19.5;195;0.78;0.325;0.65;0.164775;1.65;Genel
VX-BASLIK-BEYAZ;VX Koltuk Basligi Beyaz;8;10;0;10 adet Container 1 ve 2 de.;10;1;12;12;0.2;0.44;0.38;0.103664;1.04;Genel
VX02TDAL-ANTRASIT;VX Operasyonel Koltuk Antrasit Govde;9;60;0;60 adet Container 1 ve 2 de.;1;60;19.5;1170;0.78;0.325;0.65;0.164775;8.89;Genel
VX-BASLIK-ANTRASIT;VX Koltuk Basligi Antrasit;10;60;0;60 adet Container 1 ve 2 de.;10;6;12;72;0.2;0.44;0.38;0.103664;6.22;Genel
